Model,Explanation
Mistral 7B (Sentiment),India:0.0262; may:-0.0130; government:-0.0084; stock:0.0076; signals:0.0068; consumer:-0.0058; can:-0.0042; confidence:-0.0019; Markets:-0.0013; strategy:0.0006
Mistral 7B,GMX:-0.0325; to:-0.0171; could:-0.0155; rise:-0.0125; events:-0.0116; news:-0.0115; lighter:-0.0099; detailed:-0.0071; magic:0.0039; the:0.0038
Mistral 7B,Fargo:0.0057; might:-0.0046; potentially:-0.0033; can:-0.0024; signal:-0.0024; suggests:-0.0023; Context:-0.0022; uptick:0.0018; Growth:0.0017; share:0.0013
Mistral 7B,bearish:-0.2099; decline:-0.1567; short:-0.1243; affecting:-0.1191; into:-0.0899; puts:-0.0895; factor:-0.0436; investments:0.0249; sold:-0.0152; stock:0.0095
Mistral 7B,shorted:-0.0863; and:0.0453; Short:-0.0382; investors:-0.0293; stocks:0.0256; oversold:0.0197; squeeze:0.0170; implement:-0.0159; new:0.0132; acting:0.0012
Mistral 7B,that:0.0045; buying:0.0044; DOV:0.0037; removed:-0.0027; might:-0.0025; Focused:0.0023; trades:0.0018; it:0.0016; Removing:-0.0006; patterns:0.0000
Mistral 7B,to:-0.0073; The:-0.0072; bullish:-0.0061; pattern:-0.0058; 43:0.0044; stock:0.0042; significant:0.0031; market:-0.0030; buying:0.0029; momentum:0.0028
Mistral 7B,CHE:0.0027; healthcare:0.0020; highs:0.0020; future:0.0018; Potential:0.0018; performance:0.0016; buyers:0.0010; positive:0.0009; may:-0.0005; reaching:0.0001
Mistral 7B,buy:0.0031; NH:-0.0026; shares:0.0025; booming:0.0018; positive:0.0018; innovations:0.0010; collective:0.0010; be:-0.0007; emerging:0.0005; tweet:-0.0003
Mistral 7B,negative:-0.0594; bear:-0.0573; formation:0.0431; stock:0.0430; a:-0.0329; declines:-0.0311; As:0.0306; bearish:-0.0192; waning:-0.0180; decisions:-0.0070
Mistral 7B,short:-0.0158; term:0.0117; AAPL:-0.0098; stock:0.0069; an:-0.0069; or:-0.0062; level:-0.0062; Traders:0.0033; signal:0.0028; approach:0.0021
Mistral 7B,Google:-0.0041; Android:0.0023; shift:-0.0020; and:0.0019; could:-0.0018; with:0.0016; Here:-0.0011; the:0.0011; User:0.0005; strong:0.0004
Mistral 7B,as:-0.0142; investor:-0.0134; seen:-0.0119; Indicators:-0.0116; influencing:-0.0104; to:-0.0095; transportation:0.0084; the:-0.0082; there:-0.0052; FDX:-0.0042
Mistral 7B,above:0.0111; 200:0.0105; MA:-0.0064; may:-0.0051; indicate:-0.0045; Momentum:0.0038; stock:0.0028; its:0.0020; exceed:0.0015; momentum:0.0000
Mistral 7B,missed:-0.0205; I:0.0191; a:-0.0184; 37:0.0166; Here:-0.0160; or:-0.0151; has:0.0015; at:-0.0015; WFC:0.0013; shares:0.0002
Mistral 7B,BIOF:-0.0064; tweet:-0.0050; poster:-0.0043; target:0.0036; can:-0.0030; optimism:0.0030; trends:-0.0025; towards:-0.0022; environment:-0.0019; could:-0.0018
Mistral 7B,panic:-0.0517; firing:-0.0329; CEO:-0.0224; despite:-0.0196; lead:-0.0165; indicates:-0.0144; concerned:-0.0034; changes:0.0015; Reaction:-0.0013; strong:0.0012
Mistral 7B,sell:-0.0072; may:-0.0067; IDCC:0.0067; investors:-0.0052; patterns:-0.0051; implies:-0.0048; rising:0.0020; buy:0.0018; driving:0.0015; upward:0.0012
Mistral 7B,shorting:-0.2726; short:-0.2142; to:-0.0690; stock:-0.0616; action:-0.0491; also:-0.0489; unfavorable:-0.0449; cover:0.0363; Sentiment:0.0205; consider:0.0181
Mistral 7B,low:-0.0851; may:-0.0824; depreciated:-0.0786; consumer:-0.0759; the:-0.0697; weaker:-0.0652; influence:-0.0652; leading:-0.0473; buy:0.0324; as:-0.0010
Mistral 7B,down:-0.3694; Apple:-0.1652; decline:-0.1415; AAPL:-0.1218; The:-0.1081; the:-0.0744; recovery:0.0402; averaging:0.0323; interest:0.0128; avoid:0.0064
Mistral 7B,to:-0.0388; PT:-0.0333; barrier:-0.0326; dynamics:-0.0287; investors:-0.0255; Traders:-0.0217; and:0.0121; Achieved:0.0095; company:0.0091; targets:0.0013
Mistral 7B,AAP:-0.1961; lack:-0.1261; Apple:-0.1208; The:-0.1102; negative:-0.0900; disappointment:-0.0784; volatility:-0.0640; decreased:-0.0540; sell:0.0396; s:0.0124
Mistral 7B,Google:-0.0134; downturn:-0.0071; despite:0.0065; Resilience:0.0047; amidst:0.0045; big:0.0044; involves:-0.0042; potential:0.0040; goes:0.0037; encouraged:0.0030
Mistral 7B,decline:-0.1327; bearish:-0.1237; GMX:-0.1213; drop:-0.1051; dropped:-0.0726; in:-0.0654; investors:-0.0451; specific:-0.0229; prompting:-0.0212; leading:0.0148
Mistral 7B,decline:-0.2798; investors:-0.1588; a:-0.1221; The:-0.1000; Investor:-0.0921; s:-0.0910; in:-0.0830; lead:-0.0747; profit:0.0595; Wipro:0.0231
Mistral 7B,CEG:0.0042; positive:0.0037; increase:0.0035; aligns:0.0031; The:-0.0024; anticipation:0.0023; or:-0.0012; may:-0.0007; abbreviation:-0.0006; reconsider:-0.0001
Mistral 7B,short:-0.5464; phrasing:-0.0570; negative:-0.0515; SCM:-0.0480; may:-0.0479; reflect:-0.0469; to:-0.0432; industry:-0.0219; caution:0.0211; increasing:0.0150
Mistral 7B,stock:0.0074; resilient:0.0070; to:-0.0029; risk:0.0025; adverse:-0.0019; Aversion:-0.0017; known:0.0015; characterization:-0.0014; in:-0.0006; dividends:-0.0005
Mistral 7B (Input),may:-0.0097; Overall:0.0095; can:-0.0081; the:0.0078; India:0.0074; appealing:0.0072; enhance:0.0059; economic:-0.0016; government:0.0012; Financial:0.0003
Mistral 7B (Input),bearish:-0.1227; weakness:-0.0852; declines:-0.0589; decline:-0.0564; declining:-0.0483; drops:-0.0468; stock:0.0417; worsen:-0.0351; at:-0.0273; and:-0.0017
Mistral 7B (Input),short:-0.3458; term:0.3265; in:0.0485; involving:0.0473; The:-0.0424; intervals:0.0418; analyzing:0.0297; positions:-0.0270; be:0.0190; the:0.0147
Mistral 7B (Input),indicates:0.0091; performance:0.0081; positive:0.0074; company:0.0061; healthy:0.0057; Google:-0.0052; further:0.0043; robust:0.0037; prices:-0.0037; stability:0.0031
Mistral 7B (Input),the:0.0183; indicates:0.0162; Successful:0.0137; momentum:0.0113; strategy:0.0053; might:-0.0044; lack:-0.0040; not:-0.0033; volatility:-0.0013; essence:0.0009
Mistral 7B (Input),tweet:0.0072; indicate:0.0065; 4:0.0057; the:0.0056; stocks:0.0053; compared:0.0052; continued:0.0048; here:0.0025; may:0.0013; Financial:-0.0002
Mistral 7B (Input),stock:0.0145; further:0.0128; positive:0.0118; day:0.0110; 43:0.0106; Overall:0.0102; these:0.0056; short:-0.0044; This:0.0026; Short:-0.0008
Mistral 7B (Input),struggling:-0.1294; decline:-0.0576; slump:-0.0571; declines:-0.0515; down:-0.0389; negative:-0.0350; investors:-0.0330; disillusionment:-0.0320; of:0.0237; behavior:-0.0120
Mistral 7B (Input),decline:-0.1267; declines:-0.1267; fear:-0.0490; trading:-0.0477; behavior:-0.0466; Investors:-0.0448; considered:-0.0430; wave:-0.0419; manipulation:0.0176; aligns:0.0038
Mistral 7B (Input),term:0.0362; influx:0.0306; Entry:0.0281; conditions:0.0268; positive:0.0248; more:0.0216; short:-0.0081; panic:0.0054; phrase:0.0041; see:0.0008
Mistral 7B (Input),ambiguity:-0.0499; uncertainty:-0.0215; investors:-0.0202; could:-0.0185; buy:0.0162; unclear:-0.0148; of:0.0147; 1:0.0138; positive:0.0113; Informal:-0.0050
Mistral 7B (Input),the:0.0189; upward:0.0118; stock:0.0103; new:0.0096; indicates:0.0090; tweet:0.0074; media:0.0067; exit:0.0025; If:0.0024; threshold:0.0022
Mistral 7B (Input),short:-0.2871; Short:-0.0676; bearish:-0.0657; decrease:-0.0582; or:-0.0409; 1:-0.0363; This:-0.0309; Factors:-0.0239; The:0.0178; 5:0.0100
Mistral 7B (Input),bleak:-0.0699; losses:-0.0584; loss:-0.0497; reallocate:-0.0472; Concerns:-0.0364; financial:-0.0349; 1:-0.0338; leads:-0.0336; struggling:-0.0311; A:-0.0053
Mistral 7B (Input),negative:-0.1132; perception:-0.0430; tone:-0.0401; indicate:-0.0367; ambiguous:-0.0339; media:-0.0287; a:-0.0276; frustration:-0.0243; has:0.0141; expression:0.0020
Mistral 7B (Input),stock:0.0246; favorable:0.0202; investors:-0.0194; not:-0.0170; Caution:-0.0150; ahead:0.0141; gains:0.0128; continue:-0.0123; happening:0.0110; could:-0.0056
Mistral 7B (Input),lows:-0.2197; established:0.0917; declining:-0.0720; low:-0.0545; down:-0.0391; declines:-0.0358; Investors:-0.0297; to:-0.0142; investors:-0.0060; Strategy:-0.0045
Mistral 7B (Input),stop:-0.0955; unfavorable:-0.0732; traders:-0.0533; decrease:-0.0470; to:-0.0381; decline:-0.0357; selling:0.0349; losses:-0.0288; positions:-0.0274; overall:-0.0253
Mistral 7B (Input),lower:-0.1310; declines:-0.0682; profitability:-0.0596; investors:-0.0482; reaction:-0.0352; mitigate:0.0258; 3:0.0219; cost:0.0202; Walmart:0.0144; Here:-0.0110
Mistral 7B (Input),term:0.0610; Short:-0.0506; upward:0.0441; short:-0.0365; 5:0.0264; consolidation:0.0258; attractive:0.0236; be:0.0187; Mentioning:-0.0186; trading:-0.0024
Mistral 7B (Input),delay:-0.0883; crisis:-0.0280; to:-0.0267; recovery:0.0261; stability:0.0244; term:0.0237; Reduced:0.0180; can:-0.0170; financial:-0.0075; 6:0.0043
Mistral 7B (Input),better:0.0253; positive:0.0219; buying:0.0211; GNW:0.0172; buy:0.0156; outlook:0.0136; negative:-0.0100; Based:0.0088; losses:-0.0048; for:0.0003
Mistral 7B (Input),upward:0.0238; mitigate:0.0199; Favorable:0.0180; confident:0.0175; uncertainty:-0.0166; positive:0.0161; losses:-0.0123; sector:0.0110; Volatility:-0.0083; Investors:-0.0055
Mistral 7B (Input),CSOD:0.0172; the:0.0139; forward:0.0123; company:0.0100; lead:0.0099; positive:0.0095; associated:0.0087; anticipating:0.0085; proactive:0.0074; public:-0.0002
Mistral 7B (Input),recovery:0.0447; resilience:0.0314; lower:-0.0160; investors:-0.0141; the:-0.0139; columnist:-0.0133; recovering:0.0118; tweet:0.0118; can:-0.0089; rebounded:0.0033
Mistral 7B (Input),negative:-0.0281; perception:-0.0219; Apple:-0.0187; stocks:-0.0154; investors:-0.0147; good:0.0147; 5:0.0134; Content:0.0113; value:0.0090; include:-0.0083
Mistral 7B (Input),weak:-0.1731; term:0.1648; Short:-0.1288; not:-0.0899; short:-0.0804; strong:0.0722; stock:0.0640; market:-0.0312; stocks:-0.0306; Investors:-0.0234
Mistral 7B (Input),short:-0.1933; shorting:-0.0784; bearish:-0.0525; weakness:-0.0360; for:-0.0358; investors:-0.0294; create:-0.0281; opportunity:0.0182; may:0.0072; Sentiment:-0.0020
Mistral 7B (Input),recovery:0.0360; eased:0.0258; strain:-0.0221; rebound:0.0173; improving:0.0154; signal:0.0121; hardest:0.0082; shift:-0.0059; stocks:-0.0038; s:-0.0031
Mistral 7B (Input),positive:0.0132; strong:0.0087; attractive:0.0070; short:-0.0070; Low:-0.0062; term:0.0052; lower:-0.0049; for:-0.0043; stock:-0.0031; 65:0.0023
Mistral 7B (Input),AIG:0.0331; on:0.0301; short:-0.0279; favorable:0.0222; negative:-0.0195; trading:-0.0194; news:-0.0153; downturn:-0.0132; aware:-0.0102; News:-0.0056
Mistral 7B (Input),term:0.1062; short:-0.0796; fluctuations:0.0597; stock:0.0462; 11:0.0291; bullish:0.0273; news:0.0241; that:-0.0228; phrasing:-0.0119; might:-0.0102
Mistral 7B (Input),short:-0.2387; negative:-0.1085; squeeze:0.0884; t:-0.0776; is:-0.0739; declines:-0.0670; investors:-0.0607; missed:-0.0533; driving:-0.0439; exposure:-0.0144
Mistral 7B (Input),stock:0.0122; strong:0.0084; characterization:0.0083; confidence:0.0080; positive:0.0080; performance:0.0074; and:0.0071; favorable:0.0058; buying:0.0053; fundamentals:0.0031
Mistral 7B (Input),term:0.0889; short:-0.0699; Reaching:0.0381; gains:0.0341; tweet:0.0332; favorable:0.0285; performance:-0.0237; adopters:0.0209; part:-0.0044; flag:-0.0032
Mistral 7B (Input),short:-0.2743; Short:-0.0534; bearish:-0.0516; bad:-0.0442; investors:-0.0381; more:-0.0290; cautious:0.0212; other:0.0175; are:0.0163; yet:0.0030
Mistral 7B (Input),term:0.0191; conference:-0.0181; could:-0.0106; short:-0.0102; investors:-0.0095; shares:-0.0087; investor:-0.0086; volatility:-0.0071; confidence:0.0016; created:0.0006
Mistral 7B (Input),bearish:-0.1384; decline:-0.1208; recovery:0.0845; lows:-0.0571; short:-0.0538; unfavorable:-0.0506; investors:-0.0447; declines:-0.0273; Investors:-0.0243; to:-0.0223
Mistral 7B (Input),positive:0.0528; good:0.0397; performance:0.0228; uncertainty:-0.0213; company:0.0197; downgrade:-0.0176; negatively:-0.0136; filing:0.0124; Investors:-0.0061; Market:-0.0033
Mistral 7B (Input),positive:0.0205; a:0.0155; favorable:0.0150; speech:-0.0148; President:0.0135; short:-0.0083; movements:-0.0079; channel:-0.0077; Investors:-0.0077; can:-0.0072
Mistral 7B (Input),despite:0.0290; not:-0.0211; stock:0.0178; upward:0.0130; provide:0.0126; at:0.0126; 5:0.0125; look:-0.0063; that:-0.0063; Reversal:-0.0039
Mistral 7B (Input),favorable:0.0404; volatility:0.0378; jobs:0.0349; short:-0.0287; positive:0.0236; more:0.0188; they:0.0184; might:-0.0077; appealing:-0.0043; decrease:0.0030
Mistral 7B (Input),stock:0.0222; the:0.0212; volatility:-0.0194; purchase:0.0145; indicate:0.0138; 2:0.0129; Block:-0.0110; news:0.0020; as:0.0016; some:0.0006
Mistral 7B (Input),Apple:-0.0309; monitoring:-0.0137; eye:-0.0123; could:-0.0095; sharing:-0.0051; volume:0.0051; enthusiasm:0.0050; performance:0.0044; more:0.0019; strong:0.0001
Mistral 7B (Input),the:0.0129; stock:0.0108; buy:0.0078; further:0.0064; risen:0.0063; Analyst:0.0058; those:0.0053; The:0.0040; can:0.0002; Strategic:-0.0001
Mistral 7B (Input),coronavirus:-0.0823; diminished:-0.0522; bearish:-0.0508; lack:-0.0467; fears:-0.0460; discourages:-0.0420; decline:-0.0418; reduced:-0.0405; volatility:-0.0344; selling:0.0191
Mistral 7B (Input),Triangle:-0.0635; HEK:0.0391; solid:0.0207; gain:0.0187; whether:0.0162; pattern:0.0151; losses:0.0053; to:0.0045; might:-0.0037; Weekly:-0.0016
Mistral 7B (Input),fading:-0.1929; investors:-0.0807; decline:-0.0785; lacks:-0.0742; bearish:-0.0656; losing:-0.0630; decreasing:-0.0548; recovery:0.0419; sell:0.0287; decisions:0.0036
Mistral 7B (Input),bullflag:-0.0098; the:0.0092; solid:0.0081; piece:0.0078; for:0.0074; Increased:0.0073; NKD:0.0073; hot:0.0072; Overall:0.0056; to:-0.0001
Mistral 7B (Input),worsen:-0.0702; following:0.0690; avoid:0.0668; reduced:-0.0637; confidence:0.0624; downward:-0.0598; concerns:-0.0527; recover:0.0439; revenues:-0.0361; loss:-0.0203
Mistral 7B (Input),stop:-0.0936; bearish:-0.0777; stock:0.0657; sentiment:0.0586; decline:-0.0548; s:-0.0411; avoid:-0.0403; investors:-0.0321; 5:0.0300; losses:-0.0254
Mistral 7B (Input),negative:-0.1749; decline:-0.1545; bearish:-0.0991; outlook:-0.0688; down:-0.0593; investors:-0.0550; lack:-0.0524; selling:0.0337; see:0.0304; a:-0.0296
Mistral 7B (Input),upward:0.0236; investors:-0.0155; 4:0.0143; reactions:-0.0138; buy:0.0112; ong:0.0110; Implication:-0.0086; conditions:0.0080; potential:0.0065; Trend:-0.0054
Mistral 7B (Input),losers:-0.0453; hot:0.0415; higher:0.0246; Hot:0.0217; capitalize:0.0209; trending:0.0194; drop:-0.0163; Overall:0.0141; these:0.0133; lower:-0.0099
Mistral 7B (Input),Michigan:0.0134; for:0.0125; strategy:0.0116; launching:0.0098; 2:0.0097; positive:0.0084; within:0.0076; factors:0.0058; Bank:-0.0027; Spartans:0.0005
Mistral 7B (Input),positive:0.0096; favorable:0.0079; Increased:0.0079; infusion:0.0067; the:0.0061; 3:0.0025; economic:-0.0015; might:0.0013; may:0.0001; liquidity:-0.0001
Mistral 7B (Input),cut:-0.3645; to:-0.2297; output:-0.0879; price:-0.0841; oil:-0.0525; inflation:-0.0340; assess:0.0226; buying:-0.0180; renewable:0.0136; willing:-0.0046
Mistral 7B (Input),the:0.0150; stock:0.0137; experiencing:0.0125; favorable:0.0100; indicates:0.0085; stabilized:0.0079; 4:0.0058; short:-0.0013; Psychological:-0.0008; The:-0.0008
Mistral 7B (Input),the:0.0139; stock:0.0139; WMT:0.0125; upward:0.0113; continue:0.0111; positive:0.0096; surpassed:0.0067; price:-0.0025; channel:-0.0021; an:0.0021
Mistral 7B (Input),lack:-0.0871; confidence:0.0702; not:-0.0578; disappointment:-0.0486; negatively:-0.0399; volatility:-0.0269; hints:-0.0261; solid:0.0183; If:0.0139; complex:-0.0064
Mistral 7B (Input),term:0.1092; short:-0.0983; JOSB:0.0747; decline:-0.0627; Short:-0.0492; weaker:-0.0462; is:0.0271; struggling:-0.0221; concerns:-0.0119; issues:-0.0117
Mistral 7B (Input),long:-0.0304; stock:0.0202; this:0.0146; confidence:0.0143; are:0.0110; in:0.0091; favorable:0.0088; 5:0.0083; may:-0.0076; could:-0.0067
Mistral 7B (Input),stock:0.0194; the:0.0189; pattern:-0.0155; Increased:0.0114; poised:0.0087; confidence:0.0075; higher:0.0059; an:0.0045; who:-0.0036; patterns:-0.0016
Mistral 7B (Input),shorting:-0.2417; short:-0.1313; decline:-0.0887; bearish:-0.0437; information:-0.0377; why:0.0220; signal:0.0214; it:0.0105; themselves:-0.0025; horizon:-0.0024
Mistral 7B (Input),stop:-0.1234; to:-0.0485; a:0.0326; rebound:0.0314; barrier:-0.0313; traders:-0.0301; not:0.0210; 2:0.0170; potential:-0.0164; entry:0.0146
Mistral 7B (Input),short:-0.3569; Short:-0.0690; decrease:-0.0684; weakness:-0.0375; technical:-0.0329; this:-0.0267; potentially:-0.0238; further:-0.0214; Break:0.0036; selling:0.0001
Mistral 7B (Input),the:0.0143; strong:0.0124; growth:0.0113; is:0.0094; positive:0.0091; current:0.0088; well:0.0080; might:-0.0003; relevance:0.0003; The:-0.0001
Mistral 7B (Input),short:-0.2989; bearish:-0.1109; faltering:-0.0816; investors:-0.0610; weaken:-0.0568; 2:-0.0507; selling:0.0297; doji:0.0170; high:0.0137; By:0.0040
Mistral 7B (Input),joblessness:-0.1814; weakening:-0.0712; less:-0.0578; negative:-0.0542; reduces:-0.0479; struggling:-0.0457; investors:-0.0392; data:0.0181; rising:0.0096; implemented:-0.0056
Mistral 7B (Input),weakness:-0.1647; decline:-0.1222; not:-0.1211; Lack:-0.1167; declines:-0.0997; impending:-0.0844; no:-0.0644; lack:-0.0636; sell:0.0524; stock:0.0311
Mistral 7B (Input),lower:-0.0904; reduced:-0.0738; emergency:-0.0581; interest:-0.0526; loan:0.0480; earnings:-0.0470; might:-0.0400; instability:-0.0374; differently:-0.0339; buy:0.0243
Mistral 7B (Input),favorable:0.0168; position:0.0168; tweet:0.0157; growth:0.0141; favoring:0.0115; the:0.0104; positive:0.0103; might:0.0013; their:0.0011; others:0.0003
Mistral 7B (Input),GMX:0.0171; investor:0.0113; tweet:-0.0103; the:0.0082; excitement:0.0067; announcements:0.0054; might:-0.0049; led:0.0033; investors:-0.0017; Implications:-0.0005
Mistral 7B (Input),the:0.0112; stock:0.0073; growth:0.0069; term:0.0056; continued:0.0054; performance:0.0051; expecting:0.0040; Short:-0.0031; from:0.0015; signal:0.0007
Mistral 7B (Input),short:-0.1658; decline:-0.1451; bearish:-0.1197; not:-0.0943; term:0.0636; Negative:-0.0494; lack:-0.0435; investor:-0.0280; actively:0.0181; strong:0.0027
Mistral 7B (Input),shorted:-0.1430; Short:-0.0997; and:0.0760; investors:-0.0629; Highly:0.0547; may:-0.0360; shift:0.0305; squeeze:0.0238; can:-0.0214; reverse:0.0082
Mistral 7B (Input),and:0.0097; DOV:0.0093; on:0.0092; stock:0.0091; Clean:0.0089; buying:0.0089; in:0.0076; look:0.0020; baby:0.0015; removed:-0.0012
Mistral 7B (Input),the:0.0220; stock:0.0181; for:0.0172; in:0.0142; potential:0.0139; tweet:0.0135; indicates:0.0105; Increased:0.0068; investors:-0.0051; price:0.0016
Mistral 7B (Input),the:0.0113; hold:0.0099; healthcare:0.0092; indicates:0.0092; ideal:0.0081; 5:0.0080; and:0.0075; reached:0.0073; performance:0.0072; on:0.0064
Mistral 7B (Input),the:0.0150; buy:0.0134; Overall:0.0127; Early:0.0126; in:0.0125; a:0.0099; enticing:0.0099; volatility:0.0055; which:0.0042; trend:-0.0006
Mistral 7B (Input),negative:-0.1595; declines:-0.0857; waning:-0.0764; stock:0.0753; the:0.0655; bearish:-0.0527; Performance:0.0474; bear:-0.0470; if:-0.0385; channel:-0.0289
Mistral 7B (Input),term:0.0486; short:-0.0449; movements:0.0290; higher:0.0238; upward:0.0210; brings:0.0185; buying:0.0130; Quarterly:-0.0095; create:0.0095; urgency:-0.0093
Mistral 7B (Input),gaining:0.0104; Google:0.0088; anticipation:0.0064; higher:0.0042; versions:-0.0024; sell:0.0022; could:0.0020; system:0.0017; some:-0.0002; popularity:0.0001
Mistral 7B (Input),buy:0.0176; continued:0.0158; growth:0.0138; have:0.0106; weakening:-0.0063; attention:-0.0049; or:-0.0029; videos:-0.0021; could:-0.0019; which:0.0006
Mistral 7B (Input),above:0.0129; term:0.0124; Overall:0.0112; the:0.0108; 5:0.0091; stock:0.0088; its:0.0082; 6:0.0070; barrier:-0.0024; cross:-0.0009
Mistral 7B (Input),missed:-0.0654; opportunity:-0.0378; confidence:0.0366; the:0.0331; lower:-0.0241; potential:0.0204; a:-0.0185; under:-0.0165; If:-0.0068; target:-0.0039
Mistral 7B (Input),the:0.0202; stock:0.0131; poster:-0.0110; price:-0.0098; upward:0.0098; towards:0.0089; buy:0.0088; Overall:0.0082; can:-0.0030; could:0.0007
Mistral 7B (Input),panic:-0.0865; Instability:-0.0492; volatility:0.0404; CEO:-0.0379; company:0.0369; uncertainty:-0.0331; may:-0.0315; shares:0.0303; despite:-0.0272; lower:-0.0213
Mistral 7B (Input),term:0.0208; short:-0.0184; unsustainable:-0.0155; buy:0.0105; 5:0.0097; upward:0.0095; investment:0.0066; traders:-0.0065; conclusions:-0.0056; choose:0.0038
Mistral 7B (Input),shorting:-0.1827; short:-0.1340; This:-0.0520; technology:-0.0410; position:-0.0336; Volatility:-0.0302; investors:-0.0297; capitalize:0.0083; proactively:-0.0056; on:0.0045
Mistral 7B (Input),weaker:-0.1310; low:-0.0763; Weakness:-0.0740; erode:-0.0594; that:-0.0544; regarding:-0.0366; A:-0.0320; negatively:-0.0314; Rupee:0.0135; benefit:0.0010
Mistral 7B (Input),down:-0.1891; decline:-0.1609; recovery:0.1185; stabilizing:0.0861; suggests:-0.0712; to:-0.0607; cost:0.0581; drop:-0.0562; average:0.0468; lack:-0.0421
Mistral 7B (Input),barrier:-0.0292; stock:0.0275; to:-0.0255; the:0.0250; lack:-0.0242; now:0.0235; might:-0.0227; Achieved:0.0179; notable:0.0144; and:0.0085
Mistral 7B (Input),negative:-0.0651; lack:-0.0379; hate:-0.0353; disappointment:-0.0337; negatively:-0.0336; decreased:-0.0313; Negative:-0.0310; might:-0.0301; shares:0.0245; ambiguity:-0.0148
Mistral 7B (Input),recovery:0.0271; despite:0.0225; strong:0.0167; term:0.0166; long:0.0136; their:0.0131; volatility:0.0120; 5:0.0112; short:-0.0092; lower:-0.0043
Mistral 7B (Input),decline:-0.1023; the:0.0713; stock:0.0601; company:0.0598; Short:-0.0445; bearish:-0.0409; investors:-0.0393; lower:-0.0354; fear:-0.0148; drop:-0.0065
Mistral 7B (Input),decline:-0.2289; declines:-0.1038; Decline:-0.0676; weakening:-0.0646; decrease:-0.0583; could:-0.0558; Wipro:0.0528; erode:-0.0313; executing:0.0174; suggest:0.0134
Mistral 7B (Input),positive:0.0143; CEG:0.0135; term:0.0129; improving:0.0126; traction:0.0125; Signal:0.0091; performance:0.0082; gaining:0.0063; could:-0.0010; perspective:-0.0009
Mistral 7B (Input),short:-0.4241; decline:-0.0777; by:-0.0405; bearish:-0.0402; risks:-0.0300; prompting:0.0176; implications:-0.0151; potential:0.0123; act:0.0075; others:-0.0011
Mistral 7B (Input),BAC:0.0206; stock:0.0170; the:0.0149; secure:0.0120; stable:0.0110; continue:0.0103; is:0.0053; dividends:0.0048; might:-0.0036; that:-0.0012
DeepSeek R1 (Distill LLaMA 8B) (Input),foster:0.0323; investors:0.0295; initiative:0.0267; 1:0.0261; invest:0.0229; optimistically:0.0219; that:0.0161; may:0.0041; government:0.0028; relief:0.0011
DeepSeek R1 (Distill LLaMA 8B) (Input),bearish:-0.0484; losses:-0.0243; lower:-0.0226; worsen:-0.0200; sentiment:-0.0188; before:-0.0183; downward:-0.0174; signals:-0.0152; The:-0.0122; could:-0.0059
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.3867; short:-0.1100; yield:0.0492; interval:0.0471; Short:-0.0458; these:-0.0381; Increased:0.0259; their:0.0171; This:-0.0070; price:-0.0064
DeepSeek R1 (Distill LLaMA 8B) (Input),momentum:0.0290; performance:0.0284; positive:0.0243; but:0.0240; confidence:0.0224; Lastly:0.0198; further:0.0195; indices:-0.0062; making:0.0035; bullish:-0.0016
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0324; momentum:0.0292; indicates:0.0275; 1:0.0225; selling:0.0210; stock:0.0203; lack:-0.0121; or:0.0077; may:-0.0049; pressure:-0.0005
DeepSeek R1 (Distill LLaMA 8B) (Input),the:0.0257; indicated:0.0232; Insight:0.0218; Confidence:0.0218; investors:0.0204; tweet:0.0117; as:0.0107; report:0.0092; pressure:0.0061; summary:0.0026
DeepSeek R1 (Distill LLaMA 8B) (Input),3:0.0384; momentum:0.0367; indicates:0.0351; positive:0.0342; 4:0.0326; stock:0.0246; the:0.0240; Resistance:0.0064; Short:0.0031; resistance:0.0002
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0813; decline:-0.0742; or:-0.0494; declines:-0.0476; slump:-0.0468; several:-0.0429; leading:-0.0422; AAPL:0.0399; abandon:-0.0372; better:0.0079
DeepSeek R1 (Distill LLaMA 8B) (Input),negative:-0.0541; Error:-0.0495; Einhorn:-0.0483; declines:-0.0455; the:-0.0362; communities:-0.0317; sentiment:-0.0316; trading:0.0079; around:0.0063; selling:0.0016
DeepSeek R1 (Distill LLaMA 8B) (Input),term:0.0547; stock:0.0426; Stability:0.0412; upward:0.0370; not:0.0355; Confidence:0.0339; remain:0.0322; no:0.0283; lower:-0.0085; limiting:-0.0006
DeepSeek R1 (Distill LLaMA 8B) (Input),buy:0.0810; Lack:-0.0497; ambiguity:-0.0448; enthusiasm:0.0304; bag:-0.0293; tweet:-0.0244; prompting:0.0217; Clarity:0.0204; anticipating:0.0118; Metrics:0.0118
DeepSeek R1 (Distill LLaMA 8B) (Input),GV:0.0409; 80:0.0377; 2:0.0370; the:0.0296; potential:0.0284; confidence:0.0262; stock:0.0235; imbalance:0.0070; may:0.0055; price:-0.0030
DeepSeek R1 (Distill LLaMA 8B) (Input),short:-0.1341; Short:-0.0393; the:-0.0358; bearish:-0.0285; 5:-0.0274; trust:0.0231; Incorporated:-0.0227; tweet:-0.0192; elements:-0.0144; be:-0.0138
